bn = 425,  loss : 1.56351, acc: 0.6
bn = 426,  loss : 1.46324, acc: 0.633333
bn = 427,  loss : 1.66513, acc: 0.566667
bn = 428,  loss : 0.895258, acc: 0.733333
bn = 429,  loss : 1.39285, acc: 0.733333
bn = 430,  loss : 1.71756, acc: 0.633333
bn = 431,  loss : 2.9797, acc: 0.466667
bn = 432,  loss : 1.93511, acc: 0.7
bn = 433,  loss : 1.10848, acc: 0.733333
bn = 434,  loss : 2.27429, acc: 0.6
bn = 435,  loss : 2.61294, acc: 0.5
bn = 436,  loss : 2.26254, acc: 0.633333
bn = 437,  loss : 1.60982, acc: 0.633333
bn = 438,  loss : 1.72562, acc: 0.633333
bn = 439,  loss : 2.18324, acc: 0.6
bn = 440,  loss : 1.80295, acc: 0.466667
bn = 441,  loss : 1.20248, acc: 0.733333
bn = 442,  loss : 0.830381, acc: 0.766667
bn = 443,  loss : 2.03016, acc: 0.566667
bn = 444,  loss : 1.74234, acc: 0.633333
bn = 445,  loss : 2.03321, acc: 0.533333
bn = 446,  loss : 0.96745, acc: 0.766667
bn = 447,  loss : 1.59924, acc: 0.7
bn = 448,  loss : 1.15737, acc: 0.7
bn = 449,  loss : 0.424393, acc: 0.833333
bn = 450,  loss : 1.20767, acc: 0.733333
bn = 451,  loss : 0.928761, acc: 0.7
bn = 452,  loss : 0.705942, acc: 0.8
bn = 453,  loss : 1.77592, acc: 0.666667
bn = 454,  loss : 1.52059, acc: 0.633333
bn = 455,  loss : 1.91213, acc: 0.633333
bn = 456,  loss : 1.76602, acc: 0.4
bn = 457,  loss : 1.59533, acc: 0.7
bn = 458,  loss : 1.58614, acc: 0.733333
bn = 459,  loss : 1.0324, acc: 0.733333
bn = 460,  loss : 0.965001, acc: 0.733333
bn = 461,  loss : 0.757824, acc: 0.8
bn = 462,  loss : 0.773666, acc: 0.733333
bn = 463,  loss : 1.01571, acc: 0.666667
bn = 464,  loss : 1.57693, acc: 0.6
bn = 465,  loss : 1.01152, acc: 0.733333
bn = 466,  loss : 2.07759, acc: 0.6
bn = 467,  loss : 1.36666, acc: 0.633333
bn = 468,  loss : 1.58848, acc: 0.633333
bn = 469,  loss : 1.45477, acc: 0.6
bn = 470,  loss : 1.41932, acc: 0.7
bn = 471,  loss : 1.73027, acc: 0.533333
bn = 472,  loss : 1.72107, acc: 0.633333
bn = 473,  loss : 1.4753, acc: 0.566667
bn = 474,  loss : 1.31355, acc: 0.6
bn = 475,  loss : 2.15617, acc: 0.6
bn = 476,  loss : 1.81047, acc: 0.666667
bn = 477,  loss : 1.61224, acc: 0.5
bn = 478,  loss : 1.99674, acc: 0.5
bn = 479,  loss : 1.92261, acc: 0.466667
bn = 480,  loss : 1.3066, acc: 0.666667
bn = 481,  loss : 1.27243, acc: 0.7
bn = 482,  loss : 1.49964, acc: 0.566667
bn = 483,  loss : 1.2516, acc: 0.766667
bn = 484,  loss : 1.82796, acc: 0.633333
bn = 485,  loss : 1.26753, acc: 0.633333
bn = 486,  loss : 0.725814, acc: 0.9
bn = 487,  loss : 2.97931, acc: 0.466667
bn = 488,  loss : 3.26782, acc: 0.466667
bn = 489,  loss : 2.06302, acc: 0.466667
bn = 490,  loss : 2.21003, acc: 0.5
bn = 491,  loss : 1.70285, acc: 0.7
bn = 492,  loss : 2.58075, acc: 0.466667
bn = 493,  loss : 1.50943, acc: 0.6
bn = 494,  loss : 1.83863, acc: 0.533333
bn = 495,  loss : 1.07744, acc: 0.666667
bn = 496,  loss : 1.47936, acc: 0.6
bn = 497,  loss : 1.36512, acc: 0.733333
bn = 498,  loss : 1.32755, acc: 0.7
bn = 499,  loss : 1.22282, acc: 0.7
bn = 500,  loss : 1.60096, acc: 0.633333
bn = 501,  loss : 1.19991, acc: 0.666667
bn = 502,  loss : 1.20133, acc: 0.7
bn = 503,  loss : 1.84533, acc: 0.666667
bn = 504,  loss : 1.25958, acc: 0.7
bn = 505,  loss : 1.20516, acc: 0.833333
bn = 506,  loss : 0.813783, acc: 0.733333
bn = 507,  loss : 0.759052, acc: 0.766667
bn = 508,  loss : 1.21111, acc: 0.766667
bn = 509,  loss : 0.540287, acc: 0.833333
bn = 510,  loss : 1.0427, acc: 0.766667
bn = 511,  loss : 1.50674, acc: 0.7
bn = 512,  loss : 0.844669, acc: 0.766667
bn = 513,  loss : 1.88007, acc: 0.666667
bn = 514,  loss : 1.11611, acc: 0.7
bn = 515,  loss : 1.44654, acc: 0.733333
bn = 516,  loss : 1.58412, acc: 0.666667
bn = 517,  loss : 1.13766, acc: 0.733333
bn = 518,  loss : 0.660933, acc: 0.766667
bn = 519,  loss : 1.5924, acc: 0.633333
bn = 520,  loss : 1.17564, acc: 0.8
bn = 521,  loss : 0.921789, acc: 0.833333
bn = 522,  loss : 0.933573, acc: 0.833333
bn = 523,  loss : 1.07303, acc: 0.766667
bn = 524,  loss : 3.00924, acc: 0.4
bn = 525,  loss : 2.98018, acc: 0.6
bn = 526,  loss : 1.17647, acc: 0.633333
bn = 527,  loss : 1.0259, acc: 0.733333
bn = 528,  loss : 2.12652, acc: 0.533333
bn = 529,  loss : 1.6501, acc: 0.6
bn = 530,  loss : 0.923116, acc: 0.766667
bn = 531,  loss : 2.13513, acc: 0.6
bn = 532,  loss : 1.19406, acc: 0.6
bn = 533,  loss : 1.13824, acc: 0.633333
bn = 534,  loss : 3.3311, acc: 0.4
bn = 535,  loss : 1.49018, acc: 0.666667
bn = 536,  loss : 1.16564, acc: 0.733333
bn = 537,  loss : 0.953727, acc: 0.733333
bn = 538,  loss : 0.568143, acc: 0.833333
bn = 539,  loss : 1.37589, acc: 0.633333
bn = 540,  loss : 1.15965, acc: 0.666667
bn = 541,  loss : 0.645961, acc: 0.8
bn = 542,  loss : 1.18979, acc: 0.7
bn = 543,  loss : 1.31614, acc: 0.733333
bn = 544,  loss : 0.369934, acc: 0.866667
bn = 545,  loss : 1.75488, acc: 0.6
bn = 546,  loss : 0.815712, acc: 0.766667
bn = 547,  loss : 0.395208, acc: 0.9
bn = 548,  loss : 1.10037, acc: 0.766667
bn = 549,  loss : 1.992, acc: 0.666667
bn = 550,  loss : 0.83902, acc: 0.766667
bn = 551,  loss : 1.07903, acc: 0.766667
bn = 552,  loss : 1.32071, acc: 0.7
bn = 553,  loss : 1.15214, acc: 0.9
bn = 554,  loss : 1.27575, acc: 0.7
bn = 555,  loss : 0.911981, acc: 0.8
bn = 556,  loss : 1.09339, acc: 0.733333
bn = 557,  loss : 0.629819, acc: 0.833333
bn = 558,  loss : 1.53306, acc: 0.6
bn = 559,  loss : 1.04443, acc: 0.633333
bn = 560,  loss : 2.11765, acc: 0.6
bn = 561,  loss : 1.01057, acc: 0.833333
bn = 562,  loss : 1.20135, acc: 0.766667
bn = 563,  loss : 1.94859, acc: 0.7
bn = 564,  loss : 1.17637, acc: 0.7
bn = 565,  loss : 2.04542, acc: 0.6
bn = 566,  loss : 1.93693, acc: 0.533333
